name,total_cost,central_share,state_share,planned_fhtc,parent_smtid,old_scheme_id,IMIS id
1 NO. BAMUN GAON PWSS,5195600,4676000,519600,296,4601,29842,
1 NO. DOLABARI PWSS (Revised),2100000,1795500,199500,0,110,29729,8153355
16 No. Basti PWSS,4100000,3505500,389500,133,4877,31080,8229278
160 NO GRANT PWSS,1972000,1686100,187300,0,4335,32717,3592231
162 No. Grant PWSS,3677000,3143800,349300,0,4211,31681,8220194
2 NO BAMUNDI PWSS,3719300,3347300,371900,233,2257,30562,
4 No. Tillah PWSS,800000,684000,76000,165,4891,32786,
5 No. Saranarthi Camp PWSS,3753000,3378000,375000,96,3518,31265,
9 No.  Camp PWSS,3708000,3337000,371000,121,3520,28310,8203683
AATH GHARIATARI-A PWSS,691000,591000,66000,491,14124,32673,
ABHAYPUR PWSS (Revised),760000,684000,76000,114,7514,30244,
Abhaypuria PWSS,3499000,3149000,350000,151,6602,29457,8225539
ABHOIPUR Solar Powered Mini PWSS,648000,554000,61500,6,6831,33013,
ABHOIPURIA BONGALI PWSS,2817700,281800,148300,234,1353,32320,
ABHOYPUR PWSS (revised),2850000,2565000,285000,298,179,32870,
Acharjeepara PWSS,650000,556000,62000,374,7206,32843,
Adopara Sardarpara PWSS,2994000,2695000,299000,99,3344,31033,8205265
AENAKHAL BAZAR PWSS,492000,443000,49000,147,4436,32420,7929273
AFALA GAON PWSS,2780800,2502800,278100,143,5740,31727,8218196
AGBANDHA BENGALI PWSS,1278200,1150400,127800,253,2184,32453,8161326
Agdola PWSS (revised),7030000,6327000,703000,426,4953,31087,
Aggumi PWSS (revised),951000,856000,95000,220,7557,32619,
AGIA PT-II PWSS,2401000,2053000,228000,169,41,31694,8175267
Agia PWSS,3338000,2854000,317000,129,3351,31266,8203732
AGRIPAM PWSS (REVISED),4352200,3721100,413500,0,115,29856,8148159
AHATGURI PWSS,5143200,4628900,514300,236,2134,31720,8243342
AHOM GAON PWSS,12160000,10944000,1216000,148,10598,28311,
AHOMGAON PWSS,2900000,2479500,275500,290,3068,32365,8216693
AHOTGURI SATRA Solar Powered Mini PWSS,166000,142000,15800,4,6820,31789,
AHUGRANT PWSS,3187000,2868300,387000,329,4498,31447,4628861
Ahumgaon PWSS,942400,848200,94200,400,7022,32887,
Aidoba  PWSS,796000,716000,80000,92,2758,29645,
Ainacherra PWSS,700000,598500,66500,366,7234,32919,
Ajarguri PWSS,1264400,1138000,126400,114,5018,32795,
AKAJAN PWSS,2705000,2434000,271000,176,1032,30598,8209701
Akarabori PWSS,2050000,1752700,194700,351,1816,29878,8173686
Akhoiphutia PWSS,2470000,2223000,247000,3,7289,28011,5625399
AKNA  PWSS,2001000,1710900,190100,306,3688,31792,8239043
ALEGJARI PWSS (Revised),4203800,3783400,420400,45,181,28520,
Aliacherra Swastipally P.W.S.Scheme,1800000,1539000,171000,304,863,31081,
Alikash No. 1 PWSS (Revised),665000,598500,66500,309,4374,28537,
ALINAGAR PWSS,1764000,1508200,167800,240,8608,29532,7412937
Alipub PWSS (revised),2375000,2138000,238000,171,4965,32039,
Alipur Pt.I PWSS,833000,712000,79000,131,6973,32817,
Alipur Pt.II (Adhargram) P.W.S.Scheme,1700000,1453500,161500,182,1626,30792,8191816
Alipur PWSS,1932000,1652000,184000,131,6971,32813,
Allenpur P.W.S.Scheme,4000000,3420000,380000,239,1751,32325,
Allenpur TE P.W.S.Scheme,800000,684000,76000,271,1754,32326,
ALLOICHERRA -IV EAST W/S/S,3079000,2771000,308000,224,7905,30842,5444266
ALLOICHERRA III PWSS,3078000,2770000,308000,230,4444,29971,8186539
