new_name,old_scheme_id
Sarupeta Town Pt PWSS,19419
GAREMARI HAZIPARA PWSS,9483
Kalardia PWSS,20120
Kalardia No.1 PWSS,20119
Kaltoli Pathar PWSS,20118
Bamundongra (New) PWSS,22889
Khetrapara PWSS,20117
Kaimari Reserve Pt.III PWSS,22960
Lohikata PWSS,29263
Pachim Moinbori PWSS,10536
Maghu Bilar Pathar PWSS,20121
Pachim Moinbori Pt MPWSS,10537
Nalzuhi Pathar PWSS,20115
Motinpur PWSS,10540
Nowapara No.1 PWSS,20114
Uttar Burikhamar PWSS,9452
Nowapara Kathalguri PWSS,28908
Salmara PWSS,20111
Saralpara PWSS,20569
Purba Aladi PWSS,10440
Sarihakuchi PWSS,10480
Bongaon Buri PWSS,20348
Balipara PWSS,10102
2 No. Jawkata Gaon PWSS,21103
NEW HAKARAPARA SVS,21232
Borgaon Para-Haldipara PWSS,20733
Namborjuli PWSS,21141
Dhelasar New PWSS,20437
Rangia Nadir Pam (New) PWSS,22878
Garobasti PWSS,20387
Balar Bari MPWSS,23014
Dharampur PWSS,20374
KAWAIMARIKARAGARI RESERVE BL-9 PWSS,22884
Puranbari PWSS,20104
CHAISHIMANA N.C. Pt.II PWSS,22985
Duramari NEW PWSS,22888
Balar Vitha Dakhin Suba PWSS,10061
Banbahar Dakhin Suba PWSS,10048
PALHAZI PT.II,9526
PALHAZI PT.III,9528
Kaharpara PWSS,20367
Thengapara PWSS,30214
Aggumi No.2 New PWSS,20095
KACHARI PAM NO. 3 PWSS,20281
PURAN GAON NO. 3 PWSS,20604
BURICHATTAM I PWSS,27552
BHOWRAGURI Harbhanga Pt III PWSS,27905
Kandanapara No. 1 PWSS,27895
DAKHIN MANDALPARA DHOTABIL PWSS,27953
Jaraguri I PWSS,27712
SIALMARI PWSS,26801
JOYMA KATHALGURI PWSS,27832
POLASHGURI II PWSS,27734
POLASHGURI III PWSS,27735
NARANGURI THARAIBARI PWSS,26788
MILEKUCHI PT-1,10511
ALINAGAR BOROBASTI PWSS,26812
MAJHIBASTI MPWSS,26809
MILEKUCHI PT-2,10510
KUMTOLA BIJAYNAGAR PWSS,26774
Kujarpith Pt. PWSS,10051
JARAGURI NO.1 A PWSS,25749
CHEDAMARI A PWSS,26016
CHEDAMARI B PWSS,25982
NEW ISLAMPUR AOUJARGURI PWSS,26775
New Dhardhara-2 PWSS,27854
CHAPRAKATA PT.I A PWSS,24630
Lotamari-2 PWSS,27859
CHAPRAKATA PT.I B PWSS,26014
CHAPRAKATA RABHAPARA A PWSS,24636
CHAPRAKATA RABHAPARA B PWSS,24638
Alokjhar-2 PWSS,27857
Joldoba New PWSS,27771
DAUKHIJHAR BARMANPARA A PWSS,24408
HUDUMKATA NO 2,26782
Pachim Chuba PWSS,12278
DAUKHIJHAR BARMANPARA B PWSS,24406
Aunajuli PWSS,25266
NOWAPARA NO.1 A PWSS,25748
West Maoriagaon PWSS,27019
NOWAPARA NO.1 B PWSS,25747
Kakormari Joynary East PWSS,25270
JHARPARA PT I A PWSS,24674
Majulipara Gwthaibari PWSS,24035
JHARPARA PT I B PWSS,24675
North Singimari Shyamthaibari PWSS,23969
JHARPARA PT II A PWSS,24676
Bhalukjhora-Ujanpara PWSS,27170
JHARPARA PT II B PWSS,24677
Kamarpara Kharida Modati PWSS,27136
Dhoportol PWSS,27573
BAGHEKHAITY - A PWSS,25812
BAGHEKHAITY -B PWSS,25811
Singimari (Bamunitila) PWSS,24582
Khagrabari PWSS,25066
Pakrirtol PWSS,24421
TILAPARA B PWSS,24802
Simlaguri Laodanga PWSS,27177
CHAPRAKATA NAYAPARA PT.II PWSS,30034
BANGALJHORA BHAWRAGURI PWSS,27176
Matia Rabhapara PWSS,26652
SIALMARI PT-I & PT-II PWSS,25917
Bijoypur Bongaon PWSS,12491
Sonapur PWSS,25738
Abmuk Hakojuli PWSS,11518
Athiabari-Gossainichina PWSS,27140
Berubari Pt-I PWSS,26695
Maoriagaon-Sikargaon PWSS,25351
Watregri PWSS,13315
Batabari-Ghoramari PWSS,24367
Fakirpara pukhuripara PWSS,13841
Bhutiapara PWSS,25256
Singramari NC PWSS,26584
Bahati River block Pt-I No.2 PWSS,26586
Bongshidharma-Sikargaon PWSS,27138
Umanagar East Charagaon PWSS,25350
Dakhin-Pachim Dangarkuti PWSS,25048
Kalaichar PWSS,26573
Bahati Char Pt-II River Block PWSS,26556
Bhuyan Chuk PWSS,21808
Sardarpara Baguan PWSS,12983
"Garigaon 
 Alutolia 
 PWSS",22302
Namati Part-I (A) PWSS,20072
UTTAR BORCHAPORI PWSS,24601
Barmurikona-I PWSS,20085
MOIRABARI HAZI PARA PWSS,24801
Arora PWSS,19909
UTTAR HATIMURIA PWSS,24045
Saraipara PWSS,31634
PUB HATIMURIA PWSS,24813
Kochpara Lochana PWSS,20097
PACHIM MOIRABARI PWSS,23971
Gorabori PWSS,20532
Boratoli PWSS,20550
SONAIBERA KERIMERI PWSS,24132
ALITANGANI SADAGARBASTI PWSS,27107
Nijeswari PWSS,20091
KOWAKURI PWSS,27116
Koitasidhi PWSS,20536
KADOMONI PATHAR PWSS,26498
NEW DAKHIN KATHAGURI PWSS,27115
KAKOTI GAON PWSS,28223
Uttar Bankakata PWSS,29274
Majgumi Puthimari PWSS,20554
Senimara PWSS,20098
Shantipur PWSS,20320
JAGDUAR GAYAN GAON PWSS,28893
Palahartari khutirpar,20443
Namatia Gohain Bongali Gaon,12099
New Mandira Pathar,20484
KATAURA PWSS,20561
Rangeswari Pam Pwss,20715
NEW AMBARI FV PWSS,20575
1 No. Jawkata Gaon PWSS,29275
NAKHUTI GP 1 PWSS,20460
Niz Dahi Moroitol PWSS,28480
Alikah PWSS,20290
Batakuchi PWSS,21203
DAKHIN LUMDING GP 2 PWSS,20514
Nampara PWSS,21233
SARKEY BASTI GP 1 PWSS,20450
Gosbiya PWSS,15518
Khatira PWSS,20360
JANJU CAMP PWSS,20455
Sapartari New PWSS,20444
New Chalang Pathar PWSS,15385
Membasti PWSS,20463
Buralikson Mini PWSS,15971
Moluahabi PWSS,15982
Bholaguri Abore Ghat PWSS,21389
Anuboicha-Baligaon PWSS,14914
Kulsi PWSS,21243
Pathelipara PWSS,26120
Moutgaon No 2 PWSS,29482
Kandulimari No.1 PWSS,20248
Kumargaon No 2 PWSS,29551
Tapar Pathar PWSS,20239
No 1 Morisuti PWSS,16362
Borchapori Pwss,18040
Uttar Tukura Para PWSS,20539
Kulabil Mornoi Nepali PWSS,16552
No. 2 Bengenakhowa PWSS,21367
Dakhin Champupara PWSS,28908
Tirual Gaon No-3 PWSS,18207
Uttar Karaibill PWSS,20108
Fatual PWSS,17950
NO 1 Muslim Chuburi PWSS,17154
Pub Mergenda PWSS,20396
Mergenda No. 1 PWSS,20507
Kalatoli No.1 PWSS,20392
Alikash PWSS,29270
New Alikash PWSS,29269
Tekeliphuta PWSS,20233
1 No Bala Gaon PWSS,20210
Bhugedia No.-1 PWSS,20128
2 No Bala Gaon PWSS,20127
Bhugedia No.-2 PWSS,20126
Batahdia PWSS,20125
Chaudhurypara PWSS,20124
Dekradiatup PWSS,20124
Borchala Muslim Chuburi PWSS,15010
Puroni jamuguri Part-A PWSS,24019
Da-Gaon PWSS,17892
Natun jamuguri Part-A PWSS,24021
Townhulla PWSS,17887
No-2 Borphukankhat PWSS,15966
Amarjyoti PWSS,22273
Bebejia Likchan PWSS,17248
No.1 Tarani PWSS,15970
Dineshpur PWSS,21508
Bahbari No.2 PWSS,14448
Ganeshpur PWSS,21509
TENGAPUKHURI PWSS,8387
HABI GAON(SUKAFA),16848
HABI GAON(NAPUKHURI),8445
Bahbari No.3 PWSS,11943
GOHAIN BARI MPWSS,23801
GOHAIN BARI 2,27237
KONWAR CHUK 1,23821
KONWAR CHUK 2,27235
Dhekipelowa Bangali PWSS,23881
MATHURAPUR 4 NO. LINE PWSS,8484
MAIBELA BAGAN PWSS,8488
Mitham Bangali PWSS,28895
NEW BAULIPUKHURI PWSS,8482
ALI CHIGA (SIVASAGAR) WSS,11018
Jula Gaon PWSS,25702
Niz Bihaguri No.2 PWSS,24014
JOYPUR T.E. MINI PWSS,28759
Natun Majhi PWSS,23654
HILGRANT NO.2 NEW PWSS,22874
Niz Bihaguri No.3 PWSS,24012
RAMPUR GAON PWSS,12177
MOIDOMIA GAON PWSS,28795
NAHARANI BLOCK NO 2 PWSS,23765
Ukhobam PWSS,28708
Kekuri Bongali No.2 PWSS,28754
Sologuri No.1 PWSS,16870
Jamuguri No.2 PWSS,28706
